# ==================================================================
#              SRIM version ---> SRIM-2013.00
#              Calc. date   ---> March 20, 2017 
# ==================================================================
# 
# Disk File Name = SRIM Outputs\Beryllium in Aluminum.txt
# 
# Ion = Beryllium [4] , Mass = 9.012 amu
# 
# Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
# ======= Target  Composition ========
#    Atom   Atom   Atomic    Mass     
#    Name   Numb   Percent   Percent  
#    ----   ----   -------   -------  
#     Al     13    100.00    100.00   
# ====================================
# Bragg Correction = 0.00%
# Stopping Units =  MeV / (mg/cm2) 
# See bottom of Table for other Stopping units 
# 
#        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#       Energy      Elec.      Nuclear     Range     Straggling   Straggling
#  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.883E-01  2.210E-01     463 A       272 A       207 A   
  11.00 keV   3.024E-01  2.148E-01     509 A       292 A       224 A   
  12.00 keV   3.158E-01  2.090E-01     555 A       312 A       240 A   
  13.00 keV   3.287E-01  2.035E-01     601 A       331 A       256 A   
  14.00 keV   3.412E-01  1.983E-01     646 A       350 A       272 A   
  15.00 keV   3.531E-01  1.935E-01     692 A       368 A       287 A   
  16.00 keV   3.647E-01  1.888E-01     738 A       385 A       302 A   
  17.00 keV   3.759E-01  1.845E-01     783 A       402 A       317 A   
  18.00 keV   3.868E-01  1.803E-01     829 A       418 A       332 A   
  20.00 keV   4.175E-01  1.727E-01     918 A       450 A       361 A   
  22.50 keV   4.526E-01  1.641E-01    1028 A       486 A       395 A   
  25.00 keV   4.847E-01  1.565E-01    1135 A       519 A       427 A   
  27.50 keV   5.145E-01  1.496E-01    1240 A       550 A       458 A   
  30.00 keV   5.422E-01  1.435E-01    1343 A       578 A       487 A   
  32.50 keV   5.682E-01  1.379E-01    1445 A       605 A       515 A   
  35.00 keV   5.927E-01  1.328E-01    1545 A       631 A       542 A   
  37.50 keV   6.156E-01  1.281E-01    1644 A       655 A       567 A   
  40.00 keV   6.373E-01  1.238E-01    1741 A       677 A       592 A   
  45.00 keV   6.773E-01  1.161E-01    1932 A       719 A       638 A   
