# ==================================================================
#              SRIM version ---> SRIM-2013.00
#              Calc. date   ---> April 27, 2017 
# ==================================================================
#
# Disk File Name = SRIM Outputs\Helium in Beryllium.txt
#
# Ion = Helium [2] , Mass = 4.003 amu
#
# Target Density =  1.8480E+00 g/cm3 = 1.2349E+23 atoms/cm3
# ======= Target  Composition ========
#    Atom   Atom   Atomic    Mass     
#    Name   Numb   Percent   Percent  
#    ----   ----   -------   -------  
#     Be      4    100.00    100.00   
# ====================================
# Bragg Correction = 0.00%
# Stopping Units =  MeV / (mg/cm2) 
# See bottom of Table for other Stopping units 
#
#        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#       Energy      Elec.      Nuclear     Range     Straggling   Straggling
#  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.192E-01  6.086E-02    1106 A       321 A       301 A   
  11.00 keV   4.401E-01  5.736E-02    1203 A       336 A       319 A   
  12.00 keV   4.600E-01  5.430E-02    1297 A       350 A       337 A   
  13.00 keV   4.791E-01  5.159E-02    1389 A       362 A       353 A   
  14.00 keV   4.973E-01  4.917E-02    1479 A       374 A       368 A   
  15.00 keV   5.149E-01  4.700E-02    1567 A       384 A       383 A   
  16.00 keV   5.318E-01  4.503E-02    1653 A       394 A       397 A   
  17.00 keV   5.481E-01  4.325E-02    1737 A       404 A       410 A   
  18.00 keV   5.640E-01  4.162E-02    1820 A       412 A       422 A   
  20.00 keV   5.942E-01  3.874E-02    1980 A       428 A       445 A   
  22.50 keV   6.298E-01  3.572E-02    2174 A       446 A       472 A   
  25.00 keV   6.633E-01  3.318E-02    2359 A       462 A       495 A   
  27.50 keV   6.950E-01  3.102E-02    2538 A       475 A       517 A   
  30.00 keV   7.251E-01  2.916E-02    2710 A       488 A       537 A   
  32.50 keV   7.538E-01  2.752E-02    2878 A       499 A       555 A   
  35.00 keV   7.813E-01  2.608E-02    3040 A       509 A       572 A   
  37.50 keV   8.076E-01  2.480E-02    3197 A       518 A       588 A   
  40.00 keV   8.329E-01  2.366E-02    3351 A       526 A       603 A   
  45.00 keV   8.808E-01  2.168E-02    3647 A       542 A       629 A   
  50.00 keV   9.253E-01  2.004E-02    3930 A       556 A       653 A   
  55.00 keV   9.671E-01  1.865E-02    4201 A       568 A       675 A   
  60.00 keV   1.006E+00  1.746E-02    4463 A       578 A       695 A   
  65.00 keV   1.043E+00  1.643E-02    4716 A       588 A       713 A   
  70.00 keV   1.078E+00  1.552E-02    4962 A       597 A       729 A   
  80.00 keV   1.143E+00  1.400E-02    5432 A       613 A       759 A   
  90.00 keV   1.201E+00  1.278E-02    5880 A       628 A       785 A   
 100.00 keV   1.254E+00  1.176E-02    6310 A       640 A       808 A   
 110.00 keV   1.302E+00  1.091E-02    6724 A       651 A       829 A   
 120.00 keV   1.346E+00  1.019E-02    7124 A       661 A       847 A   
 130.00 keV   1.386E+00  9.558E-03    7512 A       670 A       865 A   
 140.00 keV   1.423E+00  9.009E-03    7891 A       679 A       881 A   
 150.00 keV   1.457E+00  8.524E-03    8260 A       686 A       895 A   
 160.00 keV   1.489E+00  8.093E-03    8622 A       693 A       909 A   
 170.00 keV   1.518E+00  7.707E-03    8977 A       700 A       922 A   
 180.00 keV   1.544E+00  7.359E-03    9326 A       706 A       935 A   
 200.00 keV   1.592E+00  6.756E-03    1.00 um      721 A       957 A   
 225.00 keV   1.641E+00  6.137E-03    1.08 um      739 A       983 A   
 250.00 keV   1.681E+00  5.630E-03    1.16 um      756 A      1006 A   
 275.00 keV   1.714E+00  5.206E-03    1.24 um      771 A      1027 A   
 300.00 keV   1.740E+00  4.845E-03    1.32 um      785 A      1047 A   
